Wall time,Step,Value
1502314245.569929,43,8.972983360290527
1502314307.635984,168,7.788379669189453
1502314336.832973,230,7.640134334564209
1502314457.54997,475,7.629400253295898
1502314489.436981,537,7.466230392456055
1502314514.608208,587,7.519937515258789
1502314545.877395,648,7.199335098266602
1502314723.706811,1015,7.311430931091309
1502314875.688609,1334,7.571207046508789
1502314900.296581,1386,7.219043254852295
1502314924.557395,1437,7.209379196166992
1502315068.999359,1738,7.772684574127197
1502315134.448103,1878,7.081870079040527
1502315340.79836,2308,7.525563716888428
1502315381.194755,2390,6.927712917327881
1502315427.991628,2487,6.896485328674316
1502315520.557829,2686,6.886682033538818
1502315776.059601,3247,6.7958879470825195
1502315803.731782,3306,6.4360456466674805
1502316269.40414,4318,6.582101345062256
1502316307.763437,4401,7.212584495544434
1502316351.435721,4493,6.663600921630859
1502316359.381349,4510,6.40805721282959
1502316573.492125,4972,6.812566757202148
1502316648.790987,5135,6.54952335357666
1502316746.598426,5346,6.566134929656982
1502316924.074556,5724,6.626678466796875
1502317009.844128,5908,6.724056243896484
1502317049.512373,5991,6.302363395690918
1502317146.434426,6201,6.546420097351074
1502317380.108953,6700,6.515622138977051
1502317385.400227,6712,6.123327255249023
1502317451.526587,6855,7.018962383270264
1502317503.01719,6967,7.245362281799316
1502317590.988617,7156,6.517030239105225
1502317733.582047,7464,6.011757850646973
1502317890.825379,7799,6.664806365966797
1502317906.494718,7834,6.319695472717285
1502318014.822748,8067,6.695826053619385
1502318067.169066,8181,6.29776668548584
1502318085.926562,8222,6.022440433502197
1502318215.134605,8499,5.881720066070557
1502318390.836605,8879,6.113364219665527
1502318416.740365,8936,6.889006614685059
1502318569.456545,9261,6.129774570465088
1502318665.779573,9469,5.049770355224609
1502318705.39497,9555,6.69271183013916
1502318773.122158,9699,6.019287109375
1502319101.962138,10400,6.494065284729004
1502319139.693414,10480,6.088655471801758
1502319337.354409,10906,6.433284759521484
1502319365.402907,10967,5.726319313049316
1502319390.785751,11021,6.100958824157715
1502319628.599219,11533,5.108523845672607
1502319644.207558,11567,6.599475860595703
1502319832.140512,11970,5.780372619628906
1502319921.180496,12165,5.903573989868164
1502319978.285561,12291,6.083827972412109
1502320252.882251,12878,5.844549655914307
1502320326.3887,13035,6.445427417755127
1502320338.699452,13062,5.40607213973999
1502320908.515845,14295,5.962113380432129
1502321076.379204,14669,5.827001571655273
1502321126.306988,14780,5.355352878570557
1502321168.730868,14874,6.342259883880615
1502321440.412358,15474,5.739955902099609
1502321570.43704,15765,6.0281476974487305
1502321727.945317,16117,6.084702491760254
1502322060.411638,16858,5.504063606262207
1502322155.071776,17067,6.677046298980713
1502322169.15544,17098,6.530496597290039
1502322269.28837,17318,6.162810325622559
1502322370.183244,17544,5.976132392883301
1502323265.96928,19532,5.692006587982178
1502323314.960505,19641,5.996542930603027
1502323355.621282,19732,6.41917610168457
1502323473.557996,19996,5.91501522064209
1502323499.622236,20054,5.662898540496826
1502323503.567957,20063,5.893590450286865
1502323584.841776,20245,5.835169792175293
1502323620.566032,20324,5.554073333740234
1502323718.620836,20540,5.752796173095703
1502323735.538626,20579,5.478930473327637
1502323824.829549,20780,5.57788610458374
1502323826.090649,20783,5.184394836425781
1502323859.05316,20856,6.017459392547607
1502323960.628153,21081,5.730632781982422
1502323989.234016,21145,6.271464824676514
1502324070.365936,21320,5.784881114959717
1502324309.62475,21849,5.157367706298828
1502324489.283307,22246,5.554136276245117
1502324527.848778,22331,5.971294403076172
1502324540.09388,22359,5.73249626159668
1502324892.589536,23139,6.557783126831055
1502324958.905054,23287,5.688432216644287
1502324992.44204,23362,5.636594295501709
1502325021.503322,23428,5.05218505859375
1502325130.349395,23671,6.582970142364502
1502325145.280476,23702,5.615177154541016
1502325347.6582,24148,5.421026229858398
1502325408.473126,24283,6.053741455078125
1502325409.487686,24285,5.65544319152832
1502325426.449878,24323,5.435020923614502
1502325563.437039,24622,5.906370162963867
1502325611.904925,24728,6.120096683502197
1502325707.963631,24935,5.365361213684082
1502325851.206907,25254,5.527043342590332
1502325913.385654,25392,5.099063873291016
1502326105.408123,25813,6.1407318115234375
1502326121.655852,25848,5.680514335632324
1502326561.320485,26798,5.350742340087891
1502326561.780148,26799,4.974471092224121
1502326884.388111,27506,5.359867572784424
1502326928.824621,27604,5.104719161987305
1502327362.0447,28544,6.000144958496094
1502327556.950729,28971,5.495609760284424
1502327568.517333,28997,5.123928070068359
1502327598.596171,29063,5.926592826843262
1502327663.751625,29202,5.561613082885742
1502327692.131806,29264,5.58150577545166
1502327786.982158,29472,5.700311660766602
1502327952.946762,29830,5.547637939453125
1502328034.007573,30006,5.70681619644165
1502328045.639262,30032,5.374875068664551
1502328110.267891,30175,5.066832065582275
1502328244.584051,30471,5.2093706130981445
1502328310.143822,30613,5.173876762390137
1502328352.125537,30707,5.273776054382324
1502328358.389608,30721,5.817930221557617
1502328670.913308,31407,5.574209213256836
1502328688.328711,31444,5.584249019622803
1502328888.307159,31881,6.141226768493652
1502328913.826502,31937,5.712042331695557
1502329143.190317,32436,5.463604927062988
1502329192.172983,32543,5.820675849914551
1502329244.885713,32658,5.914912223815918
1502329292.779959,32763,5.128750801086426
1502329354.226806,32895,4.833260536193848
1502329357.62091,32903,5.562980651855469
1502329417.725803,33035,5.198805332183838
1502329485.003771,33182,5.6199116706848145
1502329572.271515,33376,5.500788688659668
1502329585.27598,33404,5.458782196044922
1502329736.756195,33738,5.2933349609375
1502329742.018857,33750,5.619369029998779
1502329758.007634,33786,5.583230018615723
1502329782.318708,33840,6.167433738708496
1502329799.02266,33877,4.968016624450684
1502329815.517307,33914,5.734926700592041
1502329872.580492,34037,5.488394737243652
1502330021.695903,34363,5.530144691467285
1502330097.195253,34526,5.355198860168457
1502330131.991272,34600,5.616366386413574
1502330475.258636,35355,5.794628620147705
1502330532.716359,35484,5.3632307052612305
1502330661.699308,35772,5.609375953674316
1502330743.906703,35954,5.199892997741699
1502330782.126967,36038,5.29409122467041
1502331052.876059,36630,5.503350257873535
1502331066.523318,36660,5.774528980255127
1502331154.222696,36851,5.12755012512207
1502331313.847271,37203,5.162323474884033
1502331447.558464,37490,6.173229694366455
1502331576.123168,37765,5.53907585144043
1502331627.936315,37877,5.1627607345581055
1502331894.117355,38456,5.096469879150391
1502332015.527717,38721,5.417720794677734
1502332069.642631,38841,5.1112751960754395
1502332133.653632,38982,5.049248218536377
1502332277.046146,39297,5.755330562591553
1502332461.234284,39703,5.069546222686768
1502332556.402019,39910,5.785315036773682
1502332606.937278,40021,4.930720806121826
1502332731.292855,40297,5.498855113983154
1502332825.733159,40501,5.44752311706543
1502332925.09686,40721,5.262373924255371
1502332958.343206,40794,5.0057268142700195
1502333072.116515,41041,4.708847522735596
1502333176.198682,41272,5.72215461730957
1502333298.04562,41540,4.888754844665527
1502333568.60461,42135,5.270735740661621
1502333712.450267,42451,4.404869556427002
1502333720.556539,42469,5.425915718078613
1502334201.294742,43519,5.156959533691406
1502334256.273875,43640,5.29975700378418
1502334288.802713,43712,5.438358306884766
1502334332.058515,43806,5.568997383117676
1502334417.004006,43994,5.250516891479492
1502334453.242098,44074,5.615553855895996
1502334510.148308,44201,5.619994640350342
1502334513.181712,44208,5.450567245483398
1502334532.795507,44252,5.262858867645264
1502334556.457586,44305,5.242995262145996
1502334788.269731,44817,5.282564163208008
1502334855.19998,44965,5.428276538848877
1502335040.83415,45373,5.510549068450928
1502335101.648253,45508,5.56248140335083
1502335171.627631,45659,5.473827838897705
1502335474.961519,46319,5.7094526290893555
1502335482.014444,46335,5.374580383300781
1502335517.773565,46414,4.606543064117432
1502335925.593845,47302,4.298066139221191
1502336080.798915,47639,5.342991352081299
1502336112.06971,47706,5.652529716491699
1502336130.471582,47745,5.559285640716553
1502336233.53278,47971,5.044647216796875
1502336282.10828,48077,4.869976997375488
1502336330.394533,48182,5.028437614440918
1502336484.464472,48523,4.796111583709717
1502336823.399631,49273,5.485706329345703
1502336858.989867,49352,5.627384185791016
1502336915.738968,49478,5.025321006774902
1502337156.49703,50007,5.110411643981934
1502337179.39208,50057,5.669129848480225
1502337229.003726,50166,4.549463272094727
1502337242.948296,50196,4.97072696685791
1502337527.850696,50820,5.154549598693848
1502337603.020725,50980,5.177855491638184
1502337674.351076,51135,5.333915710449219
1502337718.06016,51228,5.081650257110596
1502337977.494827,51799,5.880581378936768
1502338204.109712,52293,4.8426618576049805
1502338383.854054,52683,4.7104058265686035
1502338486.611799,52907,5.221278190612793
1502338501.263831,52940,5.489912986755371
1502338570.970212,53093,4.802711009979248
1502338577.660912,53108,4.8937530517578125
1502338742.955362,53469,5.369839191436768
1502338851.422381,53707,5.399033069610596
1502338856.093565,53718,5.190621376037598
1502338921.917166,53863,5.3515825271606445
1502338941.660447,53907,5.366389274597168
1502339040.336966,54124,4.917538642883301
1502339356.607725,54808,5.3503289222717285
1502339417.556287,54938,4.453916072845459
1502339583.819772,55300,5.050070285797119
1502339695.421534,55544,5.647299766540527
1502339798.922841,55767,4.535411834716797
1502340058.444055,56338,5.562637805938721
1502340143.699021,56522,5.1548309326171875
1502340183.219206,56609,5.22589111328125
1502340266.479701,56788,4.901341915130615
1502340280.605084,56821,5.647103309631348
1502340503.4356,57306,5.658212661743164
1502340585.02893,57485,4.948160648345947
1502341025.990021,58441,5.026041030883789
1502341152.98996,58720,4.7462382316589355
1502341166.286472,58747,4.740886688232422
1502341173.976187,58764,4.521430015563965
1502341400.491418,59265,5.343103408813477
1502341422.365796,59312,4.920479774475098
1502341477.680029,59433,5.460272789001465
1502341572.686743,59641,4.527161598205566
1502341816.995136,60180,5.288146495819092
1502341819.585183,60186,5.118275165557861
1502341829.808101,60208,5.5672197341918945
1502341870.223087,60298,5.127744674682617
1502341953.294835,60476,5.034621238708496
1502342286.653665,61206,5.192108631134033
1502342320.394991,61277,4.938650131225586
1502342503.478827,61681,4.7939276695251465
1502342712.336472,62140,4.942765235900879
1502342897.406984,62548,4.539493560791016
1502343342.000017,63514,4.692145824432373
1502343414.529985,63672,5.330456256866455
1502343503.241767,63866,5.339677810668945
1502343806.159928,64522,5.348380088806152
1502343974.13181,64890,5.093741416931152
1502344157.643422,65293,4.981419086456299
1502344299.561459,65602,4.924154281616211
1502344318.571099,65644,4.744168758392334
1502344503.589494,66050,4.436438083648682
1502344839.409857,66788,4.141003608703613
1502344925.52306,66977,4.973479270935059
1502344946.51159,67022,5.008096694946289
1502345139.435069,67441,4.975949764251709
1502345523.674748,68282,4.874421119689941
1502345569.34036,68379,4.747889995574951
1502345666.760897,68591,5.271538257598877
1502345933.717167,69172,4.658742904663086
1502345940.220477,69186,4.529779434204102
1502346062.714379,69456,5.145118713378906
1502346183.025159,69720,5.480471611022949
1502346220.019806,69799,5.0254411697387695
1502346273.689188,69916,5.159527778625488
1502346526.629967,70463,5.327637672424316
1502346579.977099,70581,5.363354682922363
1502346614.417624,70657,4.990687370300293
1502346771.449783,70997,4.80940055847168
1502346969.576219,71429,4.282221794128418
1502347027.687365,71555,5.0554022789001465
1502347188.583453,71907,4.956301212310791
1502347211.932827,71958,4.7421183586120605
1502347222.188103,71980,4.983455657958984
1502347237.879353,72013,5.239245414733887
1502347249.436401,72038,5.097872734069824
1502347978.483012,72207,4.3330607414245605
1502347983.074979,72209,5.20738410949707
1502348257.274184,72311,4.681082248687744
1502348264.608384,72314,4.875670909881592
1502349090.667055,72633,4.741092205047607
1502349840.146648,72919,4.710955619812012
1502350281.065928,73089,4.7360944747924805
1502352048.649519,73704,4.729921340942383
1502352409.960603,73834,4.681391716003418
1502353165.626571,74097,4.533254623413086
1502356998.634661,75397,4.3382039070129395
1502359174.147936,76128,4.638299942016602
1502359921.762447,76392,4.442641258239746
1502360336.776025,76536,4.229111194610596
